country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Canada,OTR Meals,prepared meals,P1,active,Toronto healthy chef-prepared meal delivery with nutritionist-designed meals and no-cooking-required positioning,https://otrmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to Canada/Toronto prepared meal pages
Canada,Ever Gourmet,prepared meals,P2,active_region_check,"Toronto/GTA fresh prepared meals with gourmet, vegan, paleo, keto, athlete, and breakfast options",https://evergourmet.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada prepared meal challenger pages with regional caveat
Canada,Fed Fed Fed,prepared meals,P2,active,Canadian nutrition-focused meal club delivering fresh full-nutrition meals,https://www.fedfedfed.com/,direct partnership,official_source_checked_2026-06-24,Add to Canada nutrition-focused prepared meal pages
Canada,SupperWorks Meals for One,frozen prepared meals,P3,closing_or_limited,Ontario single-serve frozen prepared meals with closure/availability caveat from current public evidence,https://supportontariomade.ca/explore-products/supperworks-meals-for-one,not ready,closure_and_product_source_checked_2026-06-24,Account for alternatives demand only; do not recommend as active until ordering route is proven
US,Meal Village,prepared meals,P2,active_region_check,Chicago fresh chef-prepared meals delivered daily and ready to eat after heating,https://www.mealvillage.com/,direct partnership,official_and_app_source_checked_2026-06-24,Add to US regional prepared-meal pages with Chicago caveat
UK,Diced Meal Prep,high protein meal prep,P2,active,"UK fresh chef-prepared high-protein meal prep with burgers, bowls, pastas, staples, and kids meals",https://dicedmealprep.co.uk/,direct partnership,official_and_trust_source_checked_2026-06-24,Add to UK high-protein meal-prep challenger pages
US,Tasty Bite,shelf-stable meals,P2,active,"ready-to-eat Indian meals, bowls, rice, entrees, and sauces for fast pantry dinners",https://www.tastybite.com/collections/all,retail affiliate,official_source_checked_2026-06-24,"Add to shelf-stable, Indian, vegetarian, and pantry dinner pages"
US,Maya Kaimal,shelf-stable meals,P2,active,"Indian-inspired ready-to-eat meals, dals, sauces, and meal helpers for pantry dinner shortcuts",https://www.mayakaimal.com/products/,retail affiliate,official_source_checked_2026-06-24,Add to shelf-stable Indian meal helper pages
US,A Dozen Cousins,shelf-stable meals,P2,active,"ready-to-eat seasoned beans, rice, and meal sides inspired by Creole, Caribbean, and Latin American recipes",https://adozencousins.com/,retail affiliate,official_and_editorial_source_checked_2026-06-24,Add to shelf-stable bean/rice dinner helper pages
US,Loma Linda,shelf-stable plant-based meals,P2,active,shelf-stable plant-based meal solution packets and vegan pantry meals,https://lomalindabrand.com/,retail affiliate,official_source_checked_2026-06-24,Add to shelf-stable plant-based meal pages
US,Bachan's,meal starter kits,P3,active,Japanese barbecue sauces and cooking sauces for fast grocery-assisted dinner searches,https://bachans.com/,retail affiliate,official_source_checked_2026-06-24,Add to meal starter and grocery dinner helper pages
US,Fly By Jing,meal starter kits,P3,active,"Chinese pantry sauces, meal starters, and quick dinner helpers for Asian-inspired home meals",https://flybyjing.com/,retail affiliate,official_source_checked_2026-06-24,Add to meal starter and pantry dinner helper pages
US,Momofuku Goods,meal starter kits,P3,active,"noodles, sauces, and pantry goods for quick restaurant-style dinners at home",https://shop.momofuku.com/,retail affiliate,official_source_checked_2026-06-24,Add to noodle and pantry dinner helper pages
US,Brooklyn Delhi,meal starter kits,P3,active,"Indian simmer sauces, achaar, and pantry products for fast grocery-assisted dinners",https://brooklyndelhi.com/,retail affiliate,official_source_checked_2026-06-24,Add to Indian meal starter pages
US,Diaspora Co.,grocery dinner helpers,P3,active,single-origin spices and pantry staples for high-intent cooking-at-home dinner helper searches,https://www.diasporaco.com/,retail affiliate,official_source_checked_2026-06-24,"Add to premium pantry dinner helper pages, not meal delivery rankings"
US,Ipsa Provisions,frozen prepared meals,P2,active_region_check,"small-batch frozen meals, soups, and dinner provisions with regional delivery and retail route",https://eatipsa.com/,direct partnership,official_source_checked_2026-06-24,Add to frozen prepared meal challenger pages with route caveat
US,Nourish Meals,prepared meals,P2,active_region_check,regional chef-prepared healthy meals delivered fresh for family and convenience demand,https://nourishmeals.com/,direct partnership,official_source_checked_2026-06-24,Add to regional prepared meal pages with delivery-area caveat
US,Eat Flavorly,prepared meals,P3,active_region_check,meal prep and healthy prepared meal candidate for regional convenience searches,https://eatflavorly.com/,direct partnership,official_source_checked_2026-06-24,Add with active-route caveat
US,Ice Age Meals,paleo prepared meals,P3,active,frozen paleo meal delivery with protein-forward freezer meals,https://iceagemeals.net/,direct partnership,official_source_checked_2026-06-24,Add to paleo and frozen prepared meal pages
US,Caveman Chefs,paleo prepared meals,P3,active_region_check,Colorado paleo meal prep and prepared meal brand with specialty diet positioning,https://cavemanchefs.com/,direct partnership,official_source_checked_2026-06-24,Add to paleo meal prep pages with regional caveat
US,Truly Good Foods,snack and pantry box,P3,active_b2b_consumer_mixed,snack and pantry box supplier for healthy convenience searches with consumer-fit caveat,https://trulygoodfoods.com/,direct partnership after consumer fit check,official_source_checked_2026-06-24,Add only to pantry/snack box adjacent pages
Canada,Chef's Plate,meal kit,P1,active,Canadian meal kit brand with pre-portioned ingredients and recipes from the HelloFresh family,https://www.chefsplate.com/,affiliate application,official_source_checked_2026-06-24,Add to Canada meal-kit comparisons
