country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Brazil,Liv Up,frozen prepared meals,P1,active_app_route,Brazilian healthy frozen ready-meal and natural food delivery brand with app-led ordering and strong Sao Paulo/Rio demand,https://play.google.com/store/apps/details?id=br.com.livup.ecommerce,direct partnership,app_and_startup_source_checked_2026-06-24,Promote as Brazil frozen healthy meal anchor with app-route caveat
Brazil,Beleaf,plant-based frozen meals,P2,active_retail_check,Brazilian plant-based frozen and vegan food brand for healthy grocery dinner searches,https://www.beleafvegan.com/,retail affiliate or direct partnership,official_source_checked_2026-06-24,Add to Brazil plant-based frozen meal pages with retail-route caveat
Peru,Manzana Verde Peru,diet prepared meals,P1,active_app_route,Peru healthy meal plan and delivery app with personalized daily meals and diet-plan positioning,https://manzanaverde.la/peru,direct partnership,official_and_app_source_checked_2026-06-24,Add as Peru diet meal delivery anchor
Mexico,Manzana Verde Mexico,diet prepared meals,P1,active_app_route,Mexico healthy meal subscription and app-led diet meal delivery brand active in major cities,https://apps.apple.com/us/app/manzana-verde-healthy-food/id1542798197,direct partnership,app_and_portfolio_source_checked_2026-06-24,Add as Mexico diet meal plan challenger
Colombia,Manzana Verde Colombia,diet prepared meals,P2,active_app_route,Colombia healthy meal subscription brand from the Manzana Verde app network,https://play.google.com/store/apps/details?id=la.manzana_verde_app,direct partnership,app_and_portfolio_source_checked_2026-06-24,Add to Colombia healthy meal delivery pages
UAE,PrepHero,high protein meal prep,P1,active,"Dubai/UAE macro-tracked chef-made meal-plan delivery brand with weight-loss, muscle-gain, and everyday wellness plans",https://www.myprephero.com/,direct partnership,official_and_app_source_checked_2026-06-24,Add to UAE high-protein and prepared meal-plan pages
UAE,Nutrition Kitchen UAE,prepared meals,P1,active,UAE fresh ready-made meals delivered daily with chef-designed recipes and reheating convenience,https://nutritionkitchenuae.com/,direct partnership,official_source_checked_2026-06-24,Add to UAE prepared meal and daily meal-plan pages
UAE,Hello Chef,meal kit,P1,active,UAE meal-kit brand delivering pre-portioned ingredients and recipes across the country,https://hellochef.me/,direct partnership,official_source_checked_2026-06-24,Add to UAE meal-kit and easy dinner comparison pages
UAE,FITT Meals,diet prepared meals,P2,active,"UAE chef-prepared meal-plan brand serving Dubai, Abu Dhabi, and UAE with weight-loss, flex, and vegetarian plans",https://fittmeals.ae/en,direct partnership,official_source_checked_2026-06-24,Add to UAE diet and prepared meal challenger pages
Saudi Arabia,Right Bite Saudi Arabia,diet prepared meals,P1,active,"Saudi healthy meal-plan delivery brand serving Riyadh, Al-Khobar, and Dammam with calorie-controlled fresh meals",https://rightbite.com/en-sa/home,direct partnership,official_and_app_source_checked_2026-06-24,Add to Saudi diet prepared meal pages
Saudi Arabia,Calo Saudi Arabia,prepared meals,P1,active_app_route,Saudi app-led personalized fresh meal-plan delivery brand for busy people and fitness goals,https://calo.app/en,direct partnership,official_and_app_source_checked_2026-06-24,Add to Saudi prepared meal-plan pages
Qatar,Dieture,diet prepared meals,P1,active,"Qatar premium meal subscription with dietitian-designed plans for weight loss, keto, vegetarian, and personalized meals",https://www.dieture.com/,direct partnership,official_source_checked_2026-06-24,Add to Qatar diet meal delivery anchor pages
