country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
uae,Right Bite,prepared meals,1,active,"UAE meal-plan brand with dietitian-designed fresh meals across Dubai, Abu Dhabi, and Sharjah",https://rightbite.com/,direct partnership,official_source_checked_2026-06-23,Lead UAE prepared-meal comparison and partner outreach
uae,Kcal Life,prepared meals,1,active,UAE healthy meal-plan provider with customizable plans and daily meal delivery,https://kcallife.com/,direct partnership,official_source_checked_2026-06-23,Add as UAE top-tier meal-plan comparison target
uae,Calo,prepared meals,1,active,Personalized daily fresh meal-plan app active in UAE and wider GCC,https://calo.app/en,direct partnership,official_source_checked_2026-06-23,Add as app-led UAE/GCC comparison target
uae,Delicut,prepared meals,2,active,UAE calorie-tracked chef-prepared meal plans delivered across the country,https://delicut.ae/,direct partnership,official_source_checked_2026-06-23,Use for UAE value and high-protein comparison angle
uae,Meals on Me,prepared meals,2,active,UAE calorie-controlled fresh meal plans with lunch and dinner delivery,https://hellomealsonme.com/,direct partnership,official_source_checked_2026-06-23,Add to UAE prepared-meal outreach queue
singapore,Nutrition Kitchen,prepared meals,1,active,Singapore fresh ready-made meals and goal-based meal plans delivered daily,https://nutritionkitchensg.com/,direct partnership,official_source_checked_2026-06-23,Lead Singapore prepared-meal comparison and outreach
singapore,Grain,prepared meals,1,active,Singapore on-demand healthy meal delivery with rotating weekly dishes,https://grain.com.sg/eat,direct partnership,official_source_checked_2026-06-23,Add as Singapore convenience and office-lunch angle
singapore,AMGD,healthy meal delivery,2,active,Singapore healthy meal credits and meal-plan delivery brand,https://www.amgdglobal.com/en-sg,direct partnership,official_source_checked_2026-06-23,Add to Singapore halal and flexible meal-credit cluster
singapore,Yummy Bros,meal prep,2,active,Singapore high-protein customizable meal-prep brand with doorstep delivery,https://www.yummybros.com/,direct partnership,official_source_checked_2026-06-23,Use for fitness and high-protein Singapore comparison
singapore,FitThree,meal prep,3,active,Singapore chef-crafted healthy meals delivered weekly for active consumers,https://fitthree.com/,direct partnership,official_source_checked_2026-06-23,Add to fitness-focused Singapore shortlist
singapore,Freshkitchen Meals,prepared meals,3,active,Singapore ready-to-eat meal-plan brand by SaladStop Group,https://freshkitchenmeals.sg/,direct partnership,official_source_checked_2026-06-23,Add to Singapore daily fresh meal-plan cluster
south-africa,UCOOK,meal kit,1,active,South Africa meal-kit provider delivering pre-portioned ingredients and recipes,https://ucook.co.za/,direct partnership,official_source_checked_2026-06-23,Lead South Africa meal-kit comparison and outreach
south-africa,Daily Dish,meal kit,2,active,South African dinner-kit brand with weekly pre-portioned dinner boxes,https://www.facebook.com/dailydishforyou/,direct partnership,third_party_and_social_source_checked_2026-06-23,Account for South Africa meal-kit search demand and verify current official site
south-africa,FitChef,prepared meals,1,active,"South African healthy ready-to-eat meals, smoothies, snacks, and meal-plan kits",https://orders.fitchef.co.za/customer/menu/meals,direct partnership,official_source_checked_2026-06-23,Lead South Africa prepared-meal comparison and outreach
south-africa,We Are Food,frozen meals,2,active,South African frozen meal brand delivering ready meals from its online shop,https://wearefood.co.za/,direct partnership,official_source_checked_2026-06-23,Add as frozen prepared-meal option
south-africa,TasteBox,meal kit,3,active,South African health-focused meal kits delivered weekly,https://tastebox.co.za/,direct partnership,official_source_checked_2026-06-23,Add to South Africa meal-kit challenger list
hong-kong,Nutrition Kitchen,prepared meals,1,active,Hong Kong high-protein chef-made meal plans designed by nutritionists,https://nutritionkitchenhk.com/,direct partnership,official_source_checked_2026-06-23,Lead Hong Kong healthy meal-plan comparison and outreach
hong-kong,NOSH,prepared meals,1,active,Hong Kong healthy meal-plan delivery service with fresh meals delivered each morning,https://www.nosh.hk/,direct partnership,official_source_checked_2026-06-23,Add as Hong Kong top comparison target
hong-kong,Eatology,prepared meals,2,active,Hong Kong bespoke healthy meal-plan brand with diet-specific plans,https://www.eatologyasia.com/,direct partnership,third_party_source_checked_2026-06-23,Verify official content and add premium comparison angle
hong-kong,Fittery,prepared meals,2,active,Hong Kong flexible high-protein meal-plan provider with broad menu choice,https://www.instagram.com/fitteryhk/,direct partnership,third_party_and_social_source_checked_2026-06-23,Find official web ordering route and add to Hong Kong challenger list
india,Food Darzee,diet prepared meals,1,active,"Indian subscription meal service for keto, low-carb high-protein, vegan, and balanced diet plans",https://fooddarzee.com/,direct partnership,official_source_checked_2026-06-23,Lead India healthy meal-plan comparison and outreach
india,Sprink,prepared meals,2,active,"India fresh home-style meal subscription for offices, campuses, and homes",https://www.sprink.online/,direct partnership,official_source_checked_2026-06-23,Add as India daily meal subscription target
india,Fitmeals,meal prep,2,active,"India meal-plan subscription brand for weight loss, healthy eating, and muscle-building goals",https://www.fitmeals.co.in/,direct partnership,official_source_checked_2026-06-23,Add to India fitness meal-plan comparison
india,Calorie Care,diet prepared meals,3,needs_active_check,India diet meal delivery brand with historical Mumbai subscription demand,https://caloriecare.com/,direct partnership after active check,needs_official_content_check_2026-06-23,Verify active status before recommendation
