country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
US,Shef,local chef prepared meals,P1,active,"homemade meals delivered weekly from vetted local chefs, positioned as a shared personal-chef alternative",https://shef.com/,affiliate application,official_and_app_source_checked_2026-06-24,Add to local chef and homemade prepared meal pages
US,CookinGenie,private chef meal prep,P2,active,private-chef marketplace for in-home dining and customized weekly meal prep,https://cookingenie.com/,direct partnership,official_source_checked_2026-06-24,Add to private chef and meal-prep alternatives pages with service-type caveat
US,WoodSpoon,local chef prepared meals,P3,active_app_route,local/home-cooked meal delivery app with trusted cooks and app-led ordering,https://woodspoon.app.link/WoodSpoon,direct partnership after route check,app_and_press_source_checked_2026-06-24,Add with app-route caveat
US,Locale,prepared meals,P2,active_region_check,"California regional prepared meal delivery with high-protein, dietary preference, and weekly delivery positioning",https://www.shoplocale.com/,direct partnership,official_and_review_source_checked_2026-06-24,Add to California/regional prepared meal pages with delivery-area caveat
US,Table & Twine,restaurant prepared meals,P3,active_region_check,"chef-driven restaurant-quality prepared meals, entertaining packages, and finish-at-home meals",https://tableandtwine.com/,direct partnership,press_source_checked_2026-06-24,Add to regional restaurant prepared meal pages with route caveat
US,Gardencup,ready-to-eat salads and bowls,P1,active,"fresh ready-to-eat salads, bowls, soups, and snacks delivered nationwide",https://gardencup.com/,affiliate application,official_and_review_source_checked_2026-06-24,"Add to ready-to-eat salad, lunch, and healthy prepared meal pages"
US,Kencko,smoothie and produce subscription,P2,active,"organic instant smoothie, protein, and fruit/vegetable packets for no-prep nutrition searches",https://www.kencko.com/,affiliate application,official_and_review_source_checked_2026-06-24,Add to smoothie subscription and produce-dinner helper pages
US,Revive Superfoods,smoothies and prepared foods,P2,active_social_check,Canadian-made smoothie and superfood bowl subscription with ready-in-minutes positioning,https://revivesuperfoods.com/,affiliate application,social_and_secondary_source_checked_2026-06-24,Promote from candidate with active checkout caveat
Canada,Revive Superfoods Canada,smoothies and prepared foods,P2,active_social_check,Canada smoothie and bowl delivery subscription with chef-crafted nutritionally balanced products,https://revivesuperfoods.com/,affiliate application,social_source_checked_2026-06-24,Promote Canada variant with checkout caveat
US,Little Sesame,grocery dinner helpers,P3,active_retail_check,organic hummus and snack bundles for grocery dinner shortcut and plant-based pantry searches,https://www.eatlittlesesame.com/,retail affiliate,official_and_retail_source_checked_2026-06-24,"Add to plant-based grocery dinner helper pages, not prepared meal rankings"
US,Omsom,meal starter kits,P2,active,shelf-stable Asian meal starter kits and sauces for fast grocery-assisted dinners,https://www.omsom.com/,affiliate application,official_source_checked_2026-06-24,Promote from candidate to meal starter kit pages
US,Goldbelly Meal Kits,restaurant meal kits,P2,active,"restaurant meal kits, prepared food shipments, and iconic regional food delivery marketplace",https://www.goldbelly.com/meal-kits,affiliate application,official_source_checked_2026-06-24,Promote from candidate to restaurant meal-kit pages
US,ButcherBox,protein box,P2,active,meat and seafood subscription box for freezer and dinner-protein planning,https://www.butcherbox.com/,affiliate application,official_source_checked_2026-06-24,"Promote from candidate as protein-box adjacent, not full meal delivery"
US,Porter Road,protein box,P3,active,butcher meat delivery and subscription box for dinner protein planning,https://porterroad.com/,affiliate application,official_source_checked_2026-06-24,Promote from candidate as protein delivery adjacent
US,Good Chop,protein box,P3,active,meat and seafood subscription box for dinner protein delivery,https://www.goodchop.com/,affiliate application,official_source_checked_2026-06-24,Add to protein box and grocery dinner helper pages
US,Crowd Cow,protein box,P3,active,meat and seafood delivery marketplace for freezer protein and dinner planning,https://www.crowdcow.com/,affiliate application,official_source_checked_2026-06-24,Add to protein box and meat delivery comparison pages
US,Wild Pastures,protein box,P3,active,regenerative meat delivery subscription for grocery dinner protein planning,https://wildpastures.com/,affiliate application,official_source_checked_2026-06-24,Add to protein-box adjacent pages
US,Northstar Bison,protein box,P3,active,grass-fed bison and meat delivery brand for freezer protein and specialty dinner planning,https://www.northstarbison.com/,affiliate application,official_source_checked_2026-06-24,Add as specialty protein delivery adjacent
US,Misfits Market,grocery dinner delivery,P2,active,"online grocery delivery service for produce, pantry, and dinner-planning savings",https://www.misfitsmarket.com/,affiliate application,official_source_checked_2026-06-24,Add to grocery dinner and budget produce pages
US,Imperfect Foods,grocery dinner delivery,P3,brand_family_route,grocery delivery brand now operating through Misfits Market brand family with residual search demand,https://www.imperfectfoods.com/,not primary route,brand_family_source_checked_2026-06-24,Account for alternatives intent and route toward Misfits Market
US,FarmboxRx,grocery dinner delivery,P3,active_program_check,produce and healthy grocery box delivery with healthcare/benefit program relevance,https://www.farmboxrx.com/,direct partnership after consumer fit check,official_source_checked_2026-06-24,Add with consumer-route caveat
US,Farm Fresh To You,produce box,P2,active_region_check,California organic produce box and grocery delivery service for dinner planning,https://www.farmfreshtoyou.com/,affiliate application,official_source_checked_2026-06-24,Add to produce box and grocery dinner pages with regional caveat
US,Full Circle,produce box,P3,active_region_check,Pacific Northwest organic produce and grocery delivery for dinner planning,https://www.fullcircle.com/,affiliate application,official_source_checked_2026-06-24,Add to regional produce box pages
US,Hungry Harvest,produce box,P3,active_region_check,rescued produce box delivery and grocery add-ons for budget dinner planning,https://www.hungryharvest.net/,affiliate application,official_source_checked_2026-06-24,Add to budget produce and grocery dinner pages with region caveat
US,Fulton Fish Market,seafood dinner delivery,P3,active,online seafood delivery marketplace for fresh/frozen dinner protein planning,https://fultonfishmarket.com/,affiliate application,official_source_checked_2026-06-24,Add to seafood dinner delivery and grocery helper pages
