country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action,source_note
New Zealand,My Food Bag,meal kit and prepared meals,1,active,major national meal kit and ready-made option,https://www.myfoodbag.co.nz/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner path after domain is live.,"Official site describes weekly meal kits, recipe choice, and ready-made option."
New Zealand,HelloFresh,meal kit,1,active,major national meal kit,https://www.hellofresh.co.nz/,needs_research,official_source_checked_2026-06-23,Map New Zealand affiliate path separately from US/UK program.,Official NZ site promotes fresh ingredients and meal kits delivered weekly.
New Zealand,Bargain Box,budget meal kit,2,active,budget national meal kit,https://www.bargainbox.co.nz/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner contact.,Official site positions Bargain Box as an affordable New Zealand meal kit.
New Zealand,WOOP,premium meal kit,2,active,premium pre-prepped meal kit,https://woop.co.nz/,needs_research,official_source_checked_2026-06-23,Research direct partnership and affiliate options.,Official site describes local NZ meal kits with pre-prepared ingredients and sauces.
New Zealand,Fitfood,prepared meals,2,active,healthy ready-made meals,https://www.fitfood.co.nz/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partner contact.,Official site describes ready-made and cook-at-home healthy meals delivered in New Zealand.
New Zealand,FED.,frozen prepared meals,2,active,chef-prepared heat-and-eat meals,https://www.getfed.co.nz/,needs_research,official_source_checked_2026-06-23,Research subscription and direct partner path.,Official site describes chef-prepared nutritious heat-and-eat meals delivered from $16.99 per meal.
New Zealand,Angel Delivery,ready meals and care packages,3,active,care packages and ready-to-eat meal gifts,https://www.angeldelivery.co.nz/,needs_research,official_source_checked_2026-06-23,Classify as gift/care-package adjacent and research partner path.,Official site describes ready-to-eat handmade meals and gourmet care packages across New Zealand.
New Zealand,Jess's Underground Kitchen,frozen ready meals,3,active,premium ready-made meals,https://www.juk.co.nz/,needs_research,official_source_checked_2026-06-23,Research direct partner and retail/direct delivery coverage.,Official site describes premium ready-made meals delivered to the door.
New Zealand,SwoleFoods,fitness prepared meals,3,active,high-protein meal prep,https://swolefoods.co.nz/,needs_research,official_source_checked_2026-06-23,Research affiliate or direct gym/fitness partnership path.,Official site describes ready-made high-protein meal prep delivered in New Zealand.
New Zealand,Jamie's Angels,prepared meals,4,active,local senior-focused prepared meals,https://www.jamiesangels.co.nz/,needs_research,official_source_checked_2026-06-23,Treat as local/specialist listing; verify region coverage before broad rankings.,Official site describes balanced heat-and-eat meals for older customers in Whanganui.
Germany,HelloFresh,meal kit,1,active,major national meal kit,https://www.hellofresh.de/,needs_research,official_source_checked_2026-06-23,Map DACH affiliate path separately from English-market programs.,Official German site describes HelloFresh as a meal-kit/Kochbox service with menu choice and flexible subscription.
Germany,Marley Spoon,meal kit and prepared meals,1,active,major meal kit and prepared-meal option,https://marleyspoon.de/,needs_research,official_source_checked_2026-06-23,Research German partner program and compare against HelloFresh.,"Official German site describes recipes, ready meals, extras, and partner-program footer link."
Germany,Factor,prepared meals,2,active,ready-to-heat high-protein meals,https://www.factormeals.de/?locale=en-DE,needs_research,official_source_checked_2026-06-23,Research whether Factor Germany uses a separate affiliate program.,"Official Germany page describes fresh ready-to-heat meals, including high-protein options."
Germany,Loewenanteil,fitness prepared meals,2,active,organic high-protein ready meals,https://www.loewenanteil.com/en-eu,needs_research,official_source_checked_2026-06-23,Research DTC partner path and local German wording before page polishing.,Official site describes protein-rich organic ready meals delivered direct to consumer.
Germany,Every Foods,plant-based frozen meals,2,active,plant-based frozen prepared meals,https://every-foods.com/en,needs_research,official_source_checked_2026-06-23,Research country coverage and affiliate/direct partner path.,Official site describes frozen plant-based meals delivered to the door.
Germany,prepmymeal,fitness prepared meals,2,active,high-protein ready meals,https://prepmymeal.com/?lang=en,needs_research,official_source_checked_2026-06-23,Research affiliate or direct partnership contact.,Official site describes ready-made high-protein meals heated in about 7-8 minutes.
Germany,wyldr,organic meal kit,3,active,organic personalised meal kit,https://www.wyldr-bio.de/,needs_research,official_source_checked_2026-06-23,Research partner path and localise German category pages.,Official site describes a personalized organic Kochbox available across Germany.
