country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Germany,Juit,frozen prepared meals,P1,active,German frozen ready-meal delivery brand with healthy heat-and-eat meals and no-subscription positioning,https://www.juit.com/en,direct partnership,official_source_checked_2026-06-24,Add to Germany frozen prepared meal and healthy ready-meal pages
Germany,Evertaste,frozen meals,P2,active,German frozen meal brand with ready dishes and convenience dinner relevance,https://www.evertaste.com/,direct partnership,official_source_checked_2026-06-24,Add to Germany frozen meal challenger pages
Germany,Reishunger,grocery dinner delivery,P2,active,German pantry and meal-kit-style rice/noodle dinner brand with quick meal box relevance,https://www.reishunger.de/,affiliate application,official_source_checked_2026-06-24,Add to Germany grocery-dinner and pantry meal pages
Germany,KoRo,grocery dinner delivery,P2,active,German online food and pantry brand with healthy grocery-dinner basket relevance,https://www.korodrogerie.de/,affiliate application,official_source_checked_2026-06-24,Add to Germany healthy pantry and grocery-dinner pages
Germany,Just Spices,grocery dinner helper,P2,active,German recipe spice and dinner-helper brand with easy meal planning and grocery-assisted dinner demand,https://www.justspices.de/,affiliate application,official_source_checked_2026-06-24,"Categorize as grocery-dinner helper, not full meal delivery"
France,Frichti,prepared meals,P2,active_app_route,Paris-area app-led prepared food and ready meal delivery brand with prepared lunch/dinner demand,https://play.google.com/store/apps/details?id=com.frichti.android,direct partnership after active route check,app_store_source_checked_2026-06-24,Account for Paris prepared-food demand and verify active web ordering route
France,Foodette,meal kit,P2,active,French recipe basket and meal-kit brand delivering ingredients and recipes for home cooking,https://www.foodette.fr/,direct partnership,official_source_checked_2026-06-24,Add to France meal-kit challenger pages
France,Popchef,prepared meals,P3,b2b_or_catering_focus,French prepared food/catering brand with office-lunch relevance but not a standard home meal delivery route,https://www.popchef.com/,direct partnership after fit check,official_source_checked_2026-06-24,Account for B2B/lunch search demand but avoid normal consumer recommendation
France,Rutiz,prepared meals,P2,active,French fresh prepared meal delivery candidate for healthy ready-meal demand,https://rutiz.fr/,direct partnership,official_source_checked_2026-06-24,Add to France prepared meal challenger pages
France,Jow,grocery dinner delivery,P1,active,French grocery-dinner planning app that builds recipes and baskets with supermarket partners,https://jow.fr/,affiliate application,official_source_checked_2026-06-24,Add to France grocery-dinner and recipe planning pages
Netherlands,Marley Spoon Netherlands,meal kit,P1,active,Netherlands Marley Spoon meal-kit route for recipe box comparisons against HelloFresh,https://marleyspoon.nl/,affiliate application,official_source_checked_2026-06-24,Promote to Netherlands meal-kit comparisons
Netherlands,Ekomenu,organic meal kit,P2,active,"Dutch organic and sustainable meal-box brand with vegetarian, vegan, family, and diet recipe options",https://www.ekomenu.nl/,direct partnership,official_source_checked_2026-06-24,Add to Netherlands organic and vegan meal-kit pages
Netherlands,Boerschappen,grocery dinner delivery,P2,active,Dutch local grocery/meal-box brand with fresh regional ingredients and recipe-box relevance,https://www.boerschappen.nl/,direct partnership,official_source_checked_2026-06-24,Add to Netherlands grocery-dinner and local produce pages
Netherlands,Crisp,grocery dinner delivery,P1,active,Dutch fresh online supermarket with recipes and dinner-planning relevance,https://www.crisp.nl/,affiliate application,official_source_checked_2026-06-24,Add to Netherlands grocery-dinner pages
Netherlands,Maaltijdservice.nl,senior prepared meals,P2,active,"Dutch meal service marketplace for prepared meals at home, including senior and easy dinner use cases",https://www.maaltijdservice.nl/,direct partnership,official_source_checked_2026-06-24,Add to Netherlands senior meal and prepared meal pages
Belgium,Smartmat,meal kit,P2,active,Belgian meal-box brand with weekly recipes and ingredients for home cooking,https://www.smartmat.be/,direct partnership,official_source_checked_2026-06-24,Add to Belgium meal-kit challenger pages
Belgium,15gram,meal kit,P2,active,Belgian meal box and recipe planning brand with grocery-dinner relevance,https://15gram.be/,direct partnership,official_source_checked_2026-06-24,Add to Belgium recipe-box and meal-kit pages
