country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
belgium,HelloFresh,meal kit,1,active,Large Belgium meal-kit subscription with weekly recipes and home delivery,https://www.hellofresh.be/,affiliate network or direct partnership,official_source_checked_2026-06-23,Use as Belgium mainstream benchmark and affiliate application target
belgium,Foodbag,meal kit and ready meals,1,active,"Belgian meal box with local ingredients, no-subscription ordering, and ready-made options",https://www.foodbag.be/,direct partnership,official_source_checked_2026-06-23,Position as local Belgium alternative to HelloFresh and Marley Spoon
belgium,Marley Spoon,meal kit,2,active,"Belgium meal-kit option with recipes, ingredients, and market add-ons",https://marleyspoon.be/,affiliate network or direct partnership,official_source_checked_2026-06-23,Add to Belgium comparison and affiliate application queue
belgium,Simply You Box,retail meal kit,4,needs_active_check,Carrefour-backed Belgian recipe box with historical search demand,https://www.carrefour.com/en/news/carrefour-simply-you-box-has-arrived,not ready; verify active status,historical_source_checked_needs_active_check_2026-06-23,Account for search demand but do not recommend until active status is confirmed
switzerland,HelloFresh,meal kit,1,active,Large Swiss cook-at-home box with fresh ingredients and weekly delivery,https://www.hellofresh.ch/,affiliate network or direct partnership,official_source_checked_2026-06-23,Use as Switzerland meal-kit benchmark and affiliate application target
switzerland,Weekly Food,prepared meals,1,active,Swiss ready-to-eat weekly meals cooked by chefs and delivered throughout Switzerland,https://weekly-food.ch/en/,direct partnership,official_source_checked_2026-06-23,Lead prepared-meals comparison and direct partnership outreach
switzerland,Allcook Kitchen,prepared meals,2,active,Artisanal ready-meal delivery across Switzerland and Liechtenstein,https://allcook.ch/,direct partnership,official_source_checked_2026-06-23,Add to Switzerland prepared-meals shortlist
switzerland,merciChef,prepared meals,2,active,Swiss ready-to-eat meal delivery with weekly menu and chef-crafted meals,https://mercichef.ch/en,direct partnership,official_source_checked_2026-06-23,Add to Switzerland prepared-meals shortlist
switzerland,prepmymeal,high protein prepared meals,2,active,High-protein ready-made meals delivered in Switzerland,https://www.prepmymeal.ch/a/l/en/,direct partnership,official_source_checked_2026-06-23,Use for fitness and high-protein comparison angle
austria,HelloFresh,meal kit,1,active,Austria meal-kit subscription with recipes and nationwide delivery,https://www.hellofresh.at/,affiliate network or direct partnership,official_source_checked_2026-06-23,Use as Austria mainstream benchmark and affiliate application target
austria,Marley Spoon,meal kit,1,active,Austria cook-at-home meal box with flexible recipes and delivery,https://marleyspoon.at/,affiliate network or direct partnership,official_source_checked_2026-06-23,Build Austria HelloFresh vs Marley Spoon comparison
austria,prepmymeal,high protein prepared meals,2,active,DACH ready-made high-protein meals for fitness and convenience shoppers,https://prepmymeal.com/,direct partnership,official_source_checked_2026-06-23,Confirm Austria delivery terms and use for high-protein page cluster
poland,Maczfit,diet prepared meals,1,active,Major Polish boxed-diet provider with ready diet plans and menu choice,https://www.maczfit.pl/,direct partnership,official_source_checked_2026-06-23,Lead Poland diet-catering comparison and direct partnership outreach
poland,Nice To Fit You,diet prepared meals,1,active,Polish diet catering service with menu-choice packages,https://ntfy.pl/,direct partnership,official_source_checked_2026-06-23,Use as Maczfit challenger and app-led choice angle
poland,Body Chief,diet prepared meals,2,active,Polish diet box provider delivering sets of meals across many locations,https://bodychief.pl/,direct partnership,official_source_checked_2026-06-23,Add to Poland top comparison and outreach queue
poland,Wygodna Dieta,diet prepared meals,2,active,Polish box-diet provider with many diet types and broad location coverage,https://www.wygodnadieta.pl/en,direct partnership,official_source_checked_2026-06-23,Add to Poland top comparison and outreach queue
poland,SuperMenu,diet prepared meals,3,active,Polish diet catering brand with ready diets and menu-choice packages,https://supermenu.com.pl/,direct partnership,official_source_checked_2026-06-23,Add as celebrity-led diet catering challenger
finland,Ruokaboksi,meal kit,1,active,Finland meal-kit provider delivering planned recipes and measured ingredients to the door,https://ruokaboksi.fi/,direct partnership,official_source_checked_2026-06-23,Lead Finland meal-kit comparison and direct partnership outreach
finland,Calori,prepared meals,1,active,Finland meal-plan service cooking and delivering nutritious meals,https://calori.fi/,direct partnership,official_source_checked_2026-06-23,Lead Finland prepared-meals comparison and direct partnership outreach
finland,FuelMe,prepared meals,2,active,Helsinki ready-meal delivery service for busy consumers,https://fuelme.fi/,direct partnership,official_source_checked_2026-06-23,Add to Finland prepared-meals shortlist
finland,Komero Food,ready meals,3,active_retail_ready_meal_brand,Finnish fresh ready-meal brand with vegetable-forward meals,https://www.komerofood.fi/,retail partnership or content mention,official_source_checked_2026-06-23,Account for ready-meal search demand but separate from home-delivery rankings
