country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Global,Huel,complete nutrition meal replacement,P1,active,"complete nutrition powders, ready-to-drink meals, bars, and hot savoury meals for no-cook meal replacement demand",https://huel.com/,affiliate application,official_source_checked_2026-06-24,Add to complete-nutrition and no-cook meal replacement pages without positioning as cooked dinner delivery
US,Soylent,complete nutrition meal replacement,P1,active,"shelf-stable complete meal shakes, powders, and drinks for quick no-prep meal replacement demand",https://soylent.com/collections/meal-replacements,affiliate application,official_source_checked_2026-06-24,Add to US complete meal replacement comparisons
Global,Jimmy Joy,complete nutrition meal replacement,P2,active,"Plenny complete shakes, bars, and pots for budget-friendly complete food search demand",https://jimmyjoy.com/,affiliate application,official_source_checked_2026-06-24,Add to complete-food and cheap meal replacement pages
Europe,yfood,complete nutrition meal replacement,P2,active,ready-to-drink complete meal brand with European and UK consumer demand,https://yfood.com/en,affiliate application,official_source_checked_2026-06-24,Add to ready-to-drink complete meal pages
Europe,Mana,complete nutrition meal replacement,P2,active,"complete meal powder, ready-to-drink ManaDrink, and bar brand for European complete-food searches",https://drinkmana.com/,direct partnership,official_source_checked_2026-06-24,Add to complete nutrition challenger pages
Europe,Queal,complete nutrition meal replacement,P3,active,nutritionally complete shakes and complete meals positioned for fast smart nutrition,https://queal.com/,direct partnership,official_source_checked_2026-06-24,Add to complete-food alternatives pages
Europe,Saturo,complete nutrition meal replacement,P3,active,ready-to-drink complete meal with high-protein and vegan positioning,https://saturo.com/en-us,direct partnership,official_source_checked_2026-06-24,Add to ready-to-drink meal replacement comparisons
Global,Ambronite,complete nutrition meal replacement,P3,closed_or_inactive,historical whole-food meal shake brand; official product page says the company closed its doors,https://ambronite.com/products/complete-meal-shake-new.html,not ready,closure_source_checked_2026-06-24,Account for alternatives search demand only; do not recommend as active
Europe,Bertrand,complete nutrition meal replacement,P3,active,organic drinkable meal and complete nutrition powder brand for clean-label meal replacement searches,https://bertrand.bio/,direct partnership,official_source_checked_2026-06-24,Add to organic meal replacement challenger pages
Europe,Jake,complete nutrition meal replacement,P3,active_marketplace_check,complete vegan shake brand with current marketplace and social evidence but official checkout needs recheck,https://jakefood.com/,verify before monetization,marketplace_source_checked_2026-06-24,List with active-route caveat until official checkout is verified
France,Feed,complete nutrition meal replacement,P3,active_retail_check,French complete meal bar and shake brand with retail evidence for meal replacement demand,https://www.feed.co/,verify before monetization,retail_source_checked_2026-06-24,Add as French complete-food candidate with checkout caveat
Europe,Runtime,complete nutrition meal replacement,P3,needs_active_check,gaming and creator-focused meal replacement powder with historical search demand,https://runtime.gg/,verify before monetization,third_party_source_checked_2026-06-24,Use only for alternatives pages until active checkout is verified
US,Seattle Sutton's Healthy Eating,diet prepared meals,P2,active,fresh ready-to-eat dietitian-designed meal plans for weight-management prepared meal demand,https://www.seattlesutton.com/,direct partnership,official_and_partner_source_checked_2026-06-24,Promote from candidate to active US diet prepared meal pages
US,Personal Trainer Food,diet prepared meals,P3,active_route_check,weight-loss meal plan brand for low-carb prepared meal and diet plan search demand,https://personaltrainerfood.com/,direct partnership,official_source_checked_2026-06-24,Promote from candidate with checkout and plan caveat
US,Serenity Kids,kids and baby meals,P2,active,baby and toddler food brand with subscription and subscribe-to-save route for parent meal-search demand,https://myserenitykids.com/,affiliate application,official_source_checked_2026-06-24,Promote from candidate to baby food subscription pages
US,Once Upon a Farm,kids and baby meals,P2,active,"organic baby and kids pouches, snacks, and subscription box route for parent food delivery searches",https://onceuponafarmorganics.com/,affiliate application,official_source_checked_2026-06-24,Promote from candidate to kids and baby food pages
US,Cerebelly,kids and baby meals,P2,active,brain-supporting baby and toddler pouch brand with subscription and retail availability,https://cerebelly.com/,affiliate application,official_source_checked_2026-06-24,Promote from candidate to baby and toddler food pages
US,Yumble,kids meals,P3,needs_active_check,kids prepared meal delivery brand with historical search demand and uncertain current checkout state,https://yumblekids.com/,verify before monetization,active_status_needs_check_2026-06-24,Create alternatives intent only until active ordering is proven
US,OPTAVIA,diet meal replacement,P2,active,structured weight-loss fuelings and meal replacements for diet meal-plan comparison demand,https://www.optavia.com/us/en/shop/plans/weight-loss/c/meal-replacement,affiliate application,official_source_checked_2026-06-24,Add to weight-loss meal replacement pages with medical/legal caveats
US,Hers Meal Replacement,diet meal replacement,P3,active,women-focused weight-loss meal replacement shake plan tied to high-intent diet searches,https://www.forhers.com/weight-loss/meal-replacement,affiliate application,official_source_checked_2026-06-24,Add to diet meal replacement pages with clear health disclaimer
Canada,CookUnity Canada,prepared meals,P1,active_postal_check,chef-made prepared meals route for Canada; verify postal-code coverage before strong ranking claims,https://www.cookunity.com/en-ca,affiliate application,official_source_checked_2026-06-24,Promote from missing priority to route-ready Canadian prepared meal coverage
