country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
Japan,Co-op Deli,grocery dinner delivery,P2,active,Japanese co-op grocery and meal ingredient delivery service with household dinner planning relevance,https://efriends.coopdeli.jp/,direct partnership after fit check,official_source_checked_2026-06-24,Add to Japan grocery dinner and family meal planning pages
Japan,Watami no Takushoku,prepared meals,P2,active,Japanese home-delivered prepared meal and bento service with senior/easy dinner demand,https://www.watami-takushoku.co.jp/,direct partnership,official_source_checked_2026-06-24,Add to Japan senior prepared meal and bento pages
Japan,TastyTable FOOD,meal kit,P3,active,Japanese premium cooking kit and dinner box candidate,https://tastytable-food.com/,direct partnership,official_source_checked_2026-06-24,Add to Japan premium meal-kit challenger pages
Japan,Tsukurioki.jp,prepared meals,P2,active,Japanese prepared side-dish and weekly meal delivery service for families,https://www.tsukurioki.jp/,direct partnership,official_source_checked_2026-06-24,Add to Japan family prepared meal pages
South Korea,Tasty9,prepared meals,P2,active,South Korean ready meal and home meal replacement brand tied to Fresheasy market ecosystem,https://www.tasty9.co.kr/,direct partnership,official_source_checked_2026-06-24,Add to Korea prepared meal challenger pages
South Korea,Heodak,high protein prepared meals,P2,active,"Korean chicken breast, diet, and fitness prepared food brand in Fresheasy ecosystem",https://www.heodak.com/,direct partnership,official_source_checked_2026-06-24,Add to Korea high-protein and diet meal pages
South Korea,Market Kurly Meal Kits,grocery dinner delivery,P2,active,Korean premium grocery marketplace with meal-kit and ready-meal relevance,https://www.kurly.com/,affiliate application,official_source_checked_2026-06-24,Add to Korea grocery-dinner and ready-meal marketplace pages
Mexico,Come Bien,prepared meals,P2,active,Mexico prepared meal and healthy eating candidate for ready-to-eat dinner demand,https://comebien.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico prepared meal challenger pages
Mexico,Healthy Box Mexico,prepared meals,P2,active_region_check,Mexico healthy meal prep and prepared food candidate with regional availability to verify,https://healthybox.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico regional healthy meal pages
Mexico,Food & Fit,diet prepared meals,P3,active_region_check,Mexico diet and healthy prepared meal candidate with local delivery caveats,https://foodandfit.mx/,direct partnership,official_source_checked_2026-06-24,Add to Mexico diet prepared meal challenger pages
