country,brand,category,priority,site_status,market_role,official_url,affiliate_program_target,evidence_status,next_action
US,Little Spoon,kids and baby meals,P1,active,"fresh baby, toddler, and kids meal delivery with Babyblends, Biteables, Plates, Lunchers, snacks, and formula",https://www.littlespoon.com/,affiliate application,official_source_checked_2026-06-24,"Add to US kids meal delivery, toddler meals, and family pages"
US,Nurture Life,kids meals,P1,active,kids meal delivery service focused on ready-made meals and picky-eater family convenience,https://www.nurturelife.com/,affiliate application,official_source_checked_2026-06-24,Use as US kids meal delivery anchor
US,Tiny Organics,baby and toddler meals,P2,active,organic baby and toddler meals delivered to the door,https://www.tinyorganics.com/,direct partnership,official_source_checked_2026-06-24,Add to baby/toddler meal pages
US,Yumi,kids and toddler snacks,P3,active,healthy toddler and family snack brand with baby-food heritage,https://helloyumi.com/,direct partnership,official_source_checked_2026-06-24,Account for Yumi baby-food search demand with current snack positioning
US,bistroMD,diet prepared meals,P1,active,dietitian-designed chef-prepared weight-loss and wellness meal delivery with specialized programs,https://www.bistromd.com/,affiliate application,official_source_checked_2026-06-24,"Add to US diet, weight-loss, diabetic, and high-protein pages"
US,Diet-to-Go,diet prepared meals,P1,active,diet prepared meal delivery brand for weight-loss and structured plans,https://www.diettogo.com/,affiliate application,official_source_checked_2026-06-24,Add to US diet meal delivery and weight-loss comparisons
US,ModifyHealth,medical diet meals,P1,active,"medically tailored prepared meals focused on low-FODMAP, Mediterranean, and condition-specific nutrition",https://www.modifyhealth.com/,affiliate application,official_source_checked_2026-06-24,Add to medical diet and low-FODMAP meal pages
US,Epicured,medical diet meals,P1,active,low-FODMAP and gluten-free fresh meal delivery for digestive health,https://www.epicured.com/,direct partnership,official_source_checked_2026-06-24,Use as medical/specialist diet meal anchor
US,Magic Kitchen,frozen senior and special-diet meals,P1,active,"frozen prepared meals with senior, diabetic, renal, dialysis, low-carb, and complete-meal options",https://www.magickitchen.com/,affiliate application,official_source_checked_2026-06-24,"Add to seniors, frozen meals, and special-diet pages"
US,Mom's Meals,medically tailored meals,P1,active,"home-delivered medically tailored meals with diabetes, renal, heart-friendly, protein+, pureed, halal, kosher, produce, and pantry programs",https://www.momsmeals.com/,direct partnership,official_source_checked_2026-06-24,"Add to seniors, medically tailored meals, and food-as-medicine pages"
US,Sakara,premium plant-based prepared meals,P1,active,"premium plant-based nutrition programs, prepared meals, and wellness delivery",https://www.sakara.com/,affiliate application,official_source_checked_2026-06-24,"Add to premium wellness, plant-based, and prepared-meal pages"
US,Hungryroot,grocery dinner delivery,P0,active,"personalized grocery-dinner service combining meal-kit convenience, grocery variety, recipes, and dietary filters",https://www.hungryroot.com/,affiliate application,official_source_checked_2026-06-24,Use as US grocery-dinner anchor
US,Wildgrain,frozen bakery and dinner pantry,P2,active,"subscription box for bake-from-frozen breads, pastas, pastries, and dinner pantry staples",https://wildgrain.com/,affiliate application,official_source_checked_2026-06-24,Add to frozen pantry and dinner helper pages
US,Daily Harvest,frozen plant-based meals,P1,active,"frozen plant-based smoothies, bowls, soups, and no-prep meal delivery",https://www.daily-harvest.com/,affiliate application,official_source_checked_2026-06-24,Add to US frozen vegan and smoothie meal pages
Canada,Heart to Home Meals,frozen senior meals,P1,active,Canadian frozen prepared meal delivery brand for seniors and home convenience,https://www.hearttohomemeals.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada senior and frozen meal pages
Canada,Power Kitchen,high protein meal prep,P2,active,Canadian macro and high-protein prepared meal delivery brand,https://powerkitchen.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada high-protein challenger pages
Canada,Athletes Kitchen,high protein meal prep,P2,active,Canadian athlete-focused meal-prep delivery brand,https://athleteskitchen.ca/,direct partnership,official_source_checked_2026-06-24,Add to Canada fitness meal-prep pages
Australia,The Dinner Ladies,frozen family meals,P1,active,Australian frozen family meal delivery brand with ready-made dinners and entertaining food,https://www.dinnerladies.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU family frozen-meal pages
Australia,Lite n' Easy,diet prepared meals,P1,active,Australian weight-loss and healthy prepared-meal delivery brand,https://www.liteneasy.com.au/,affiliate application,official_source_checked_2026-06-24,Add to AU diet and prepared-meal comparisons
Australia,Tender Loving Cuisine,senior and diet meals,P1,active,"Australian prepared meal delivery brand for seniors, NDIS-style support, and healthy home meals",https://www.tlc.org.au/,direct partnership,official_source_checked_2026-06-24,Add to AU seniors and special-diet pages
Australia,The Good Meal Co,prepared meals,P2,active,Australian ready-made meal delivery brand focused on convenient prepared meals,https://www.thegoodmealco.com.au/,direct partnership,official_source_checked_2026-06-24,Add to AU prepared-meal challenger pages
UK,Grubby,vegan meal kit,P1,active,UK plant-based recipe kit and vegan meal-kit delivery brand,https://grubby.co.uk/,affiliate application,official_source_checked_2026-06-24,Add to UK vegan meal-kit comparisons
UK,Riverford,grocery dinner delivery,P1,active,UK organic veg box and recipe-box brand with dinner-planning relevance,https://www.riverford.co.uk/,affiliate application,official_source_checked_2026-06-24,Add to UK grocery-dinner and organic recipe-box pages
UK,Abel & Cole,grocery dinner delivery,P1,active,"UK organic grocery, veg box, and recipe-box delivery brand",https://www.abelandcole.co.uk/,affiliate application,official_source_checked_2026-06-24,Add to UK organic grocery-dinner comparisons
UK,Parsley Box,shelf-stable senior meals,P2,active,UK cupboard-stored prepared meal delivery for older customers and easy dinners,https://www.parsleybox.com/,affiliate application,official_source_checked_2026-06-24,Add to UK seniors and shelf-stable meal pages
UK,Balance Box,diet prepared meals,P2,active,UK healthy diet meal delivery and calorie-controlled meal plan brand,https://www.balancebox.com/,direct partnership,official_source_checked_2026-06-24,Add to UK diet prepared-meal pages
